1.679105, 20, 2356
0.001379, 10, 36
0.102401, 16, 497
0.072254, 16, 455
0.00147, 10, 41
0.003682, 12, 77
0.022802, 14, 232
0.000116, 4, 5
0.000224, 6, 9
0.001594, 12, 47

0.105165, 20, 524
0.001302, 10, 28
0.006773, 16, 103
0.014558, 16, 164
0.000752, 10, 18
0.001043, 12, 27
0.006721, 14, 103
0.000166, 4, 5
0.000266, 6, 8
0.001168, 12, 32

0.115244, 20, 524
0.001229, 10, 28
0.007226, 16, 103
0.014834, 16, 164
0.000859, 10, 18
0.001317, 12, 27
0.009029, 14, 103
0.000204, 4, 5
0.00042, 6, 8
0.001465, 12, 32
