0.080987, 16, 427
0.002371, 12, 52
0.00028, 6, 10
0.304881, 18, 927
0.076647, 16, 465
0.031907, 14, 298
0.001361, 10, 36
0.010246, 14, 140
0.082154, 16, 479
0.000873, 10, 26

0.003441, 16, 62
0.000836, 12, 21
0.00044, 6, 11
0.009293, 18, 117
0.008292, 16, 119
0.008851, 14, 129
0.000822, 10, 20
0.002475, 14, 55
0.010963, 16, 144
0.000584, 10, 17

0.003209, 16, 62
0.000851, 12, 21
0.000501, 6, 11
0.009668, 18, 117
0.009489, 16, 119
0.010249, 14, 129
0.000877, 10, 20
0.003121, 14, 55
0.012325, 16, 144
0.000646, 10, 17
